participant_id,weeks,education,food,recreation,rent_adjustment,shelter,wages,savings,interestGroup
0,1,76.01075911,61.5685665,170.826429,0,1109.977243,4528.907573,3110.524575,H
0,2,0,61.39522155,0,0,0,2056.400014,1995.004792,H
1,1,76.01075911,72.24243343,322.0210678,0,1109.977243,3853.619038,2273.367534,B
2,1,25.62489004,60.64203481,189.6853572,0,1113.105854,4020.643365,2631.585228,A
3,1,76.01075911,67.37576326,215.9261567,0,1109.977243,3897.332865,2428.042943,I
4,1,25.62489004,71.34941208,321.5533202,4809.283427,7385.947341,4445.345454,1450.153917,H
5,1,25.62489004,81.9010862,163.0318863,0,1200.067249,2728.92074,1258.295628,D
6,1,25.62489004,85.59966111,346.1912273,0,1162.383978,2663.0063,1043.206543,I
7,1,25.62489004,110.2925742,213.8537897,0,2026.403895,4079.595521,1703.420372,A
8,1,25.62489004,105.0914405,226.4985581,0,2359.260852,3725.531382,1009.055641,G
9,1,182.2870277,69.04416957,110.7468583,0,1116.004568,5800.370282,4322.287659,D
10,1,25.62489004,96.53392537,79.53414423,0,1121.801994,3633.657821,2310.162867,D
11,1,146.3957043,62.52938359,221.5037409,0,1112.344942,3955.101572,2412.327801,F
12,1,76.01075911,62.62293242,270.7334972,0,1113.765562,3573.942083,2050.809333,D
13,1,25.62489004,105.4007633,158.4262926,0,2603.127811,4026.453213,1133.873457,J
14,1,25.62489004,110.6359315,255.5603494,0,2271.474402,5531.568722,2868.27315,H
15,1,76.01075911,60.93227144,229.6212548,0,1117.55388,3704.887249,2220.769084,I
16,1,25.62489004,68.75501159,267.3642577,0,1124.700707,5295.440053,3808.995187,J
17,1,76.01075911,67.07279657,189.4963395,0,1117.55388,6639.153933,5189.020158,I
18,1,182.2870277,67.28514529,56.69405979,0,1119.243505,6934.646385,5509.136647,I
19,1,25.62489004,96.43645986,111.3172652,0,1142.092986,4392.441817,3016.970216,B
20,1,25.62489004,72.88584229,131.9837075,0,1147.890412,3743.059028,2364.674175,I
21,1,25.62489004,104.7254064,384.4922894,0,1376.888752,2497.791473,606.0601346,E
22,1,25.62489004,111.7146239,289.5997597,0,2029.099214,3142.557163,686.5186755,E
23,1,182.2870277,68.84443058,189.5118665,0,1119.243505,3311.510702,1751.623871,B
24,1,25.62489004,70.17654085,190.001386,0,1147.890412,4721.375293,3287.682064,D
25,1,25.62489004,89.2649182,171.4820832,0,1173.978831,3762.590308,2302.239586,J
26,1,25.62489004,92.39391392,139.5804268,0,1173.978831,3425.589533,1994.011471,F
27,1,76.01075911,66.65083987,267.0385344,0,1125.130516,3694.005894,2159.175244,D
28,1,76.01075911,59.22476336,297.851982,0,1125.130516,6231.569755,4673.351734,A
29,1,25.62489004,71.32024081,190.1852628,0,1231.953094,2987.061201,1467.977713,C
30,1,25.62489004,103.7397954,125.5054594,3852.01959,5998.479612,2828.821265,427.4910981,C
31,1,182.2870277,68.60408688,154.9460636,0,1134.716918,7435.497528,5894.943432,F
32,1,76.01075911,66.35595589,264.0600911,0,1140.283789,3605.576158,2058.865563,C
33,1,146.3957043,70.58134692,93.90896536,0,1146.676576,5596.600587,4139.037994,D
34,1,25.62489004,73.76081443,347.156929,2095.946975,4223.397958,2954.837155,380.8435383,B
35,1,25.62489004,112.4140978,380.8675836,0,1252.244086,2478.690819,707.5401615,J
36,1,25.62489004,68.83597474,234.0169631,0,1284.129931,6455.674382,4843.066623,G
37,1,76.01075911,63.99824697,260.1917521,0,1147.860426,3619.586591,2071.525407,G
38,1,76.01075911,67.00883231,157.7548502,0,1147.860426,3025.805894,1577.171027,D
39,1,25.62489004,78.42211917,394.6919638,0,1498.634705,3948.479719,1951.106041,G
40,1,76.01075911,116.808255,365.7451587,0,1204.685199,2318.774926,555.525554,I
41,1,25.62489004,117.892048,326.5185336,0,1330.509342,2628.990743,828.4459299,F
42,1,146.3957043,66.85481158,129.764717,0,1153.542903,3375.418301,1878.860165,J
43,1,76.01075911,64.24784312,256.3363579,0,1155.437062,5753.382987,4201.350965,E
44,1,25.62489004,38.53486585,0,0,0,2235.986142,2171.826386,C
45,1,76.01075911,61.34889311,89.55238693,0,1155.437062,7273.804935,5891.455834,E
46,1,76.01075911,63.23879756,324.734121,0,1155.437062,3323.334124,1703.913384,D
47,1,25.62489004,93.621795,110.3152939,0,1330.509342,3399.104341,1839.033021,C
48,1,25.62489004,106.6441993,225.0934193,0,1330.509342,3542.571073,1854.699223,F
49,1,76.01075911,68.46372088,241.7542691,0,1159.22538,6433.95007,4888.495941,D
50,1,25.62489004,66.61659569,309.5758855,0,1330.509342,3331.735369,1599.408656,H
51,1,25.62489004,95.84433134,154.8539629,0,1336.306768,5960.86743,4348.237478,G
52,1,25.62489004,102.2289661,232.04199,0,1800.100874,2637.869061,477.8723412,B
53,1,76.01075911,61.46238073,150.1097699,0,1160.40923,3193.792751,1745.800611,H
54,1,25.62489004,73.41274478,284.592337,0,3112.712374,5501.669656,2005.32731,I
55,1,25.62489004,112.7339298,271.3497609,0,1337.970301,2898.157907,1150.479025,J
56,1,25.62489004,102.4104135,395.1248121,0,2136.136958,3745.881108,1086.584034,G
57,1,25.62489004,63.44474024,289.8831215,0,1362.395186,5603.32598,3861.978042,A
58,1,25.62489004,64.01604518,184.1467326,0,1160.505939,6619.673722,5185.380115,J
59,1,76.01075911,65.20723682,289.3013286,0,1166.802017,5608.432619,4011.111278,C
60,1,25.62489004,97.14533798,245.4182237,0,1373.990039,3353.105378,1610.926887,D
61,1,25.62489004,106.236873,140.9421578,0,1393.609899,3526.386722,1859.972903,F
62,1,25.62489004,64.62424119,112.081619,0,1393.609899,4183.797236,2587.856588,A
63,1,25.62489004,102.0424681,228.9135599,0,1397.179744,3551.181501,1797.420838,G
64,1,25.62489004,104.0308601,136.7089825,0,1397.179744,3253.453505,1589.909028,I
65,1,25.62489004,73.80506919,234.1352479,0,1397.179744,3419.043009,1688.298057,I
66,1,25.62489004,95.43680649,342.3169864,0,2348.335529,4480.397833,1668.68362,J
67,1,25.62489004,88.6652395,133.4494989,0,1397.267667,3506.528805,1861.521509,C
68,1,25.62489004,95.40966919,159.6728346,0,1402.977171,3298.032532,1614.347968,G
69,1,25.62489004,124.6960894,262.7499028,0,2150.845167,3592.717715,1028.801665,B
70,1,25.62489004,77.84783446,232.0785912,0,1692.848487,2854.29954,825.8997375,D
71,1,25.62489004,123.5696213,249.3690724,0,1692.848487,3032.789978,941.3779068,J
72,1,76.01075911,72.20961569,174.6922727,0,1174.378653,4954.001412,3456.710111,B
73,1,25.62489004,94.0423019,153.1740072,0,1404.583205,4556.572014,2879.14761,H
74,1,76.01075911,108.0593727,260.7574661,0,1204.685199,2493.729761,844.2169636,B
75,1,0,113.2781981,405.5926622,0,1828.884381,2915.874508,568.1192658,A
76,1,0,69.83735445,164.8834496,0,1404.583205,3028.244031,1388.940022,I
77,1,0,67.54202834,226.0657488,0,1415.556511,3342.714185,1633.549897,C
78,1,0,76.05726451,178.2261411,0,1175.979351,6983.938752,5553.675995,B
79,1,0,64.12259603,12.36706054,0,1175.979351,3443.659248,2191.19024,C
80,1,0,97.24780695,185.1457685,0,1419.21428,3096.023228,1394.415372,E
81,1,0,93.12590637,164.6438662,0,2242.212252,4399.535985,1899.553961,D
82,1,0,122.0132904,260.1593057,0,2133.452888,4968.483874,2452.858391,H
83,1,0,68.79164671,174.472964,0,1178.166972,3363.119887,1941.688305,C
84,1,0,102.8604728,100.8709628,0,1430.187586,3396.894294,1762.975272,J
85,1,0,75.13454471,207.824787,0,1430.187586,3287.777951,1574.631033,A
86,1,0,100.7475265,141.0465032,0,1431.964302,3424.056309,1750.297977,C
87,1,0,117.3265525,345.5454702,0,1257.721655,2776.105115,1055.511437,A
88,1,0,122.644408,374.1869134,0,1204.685199,2903.611827,1202.095306,A
89,1,0,67.20395938,342.0756448,0,1181.137155,3607.245988,2016.829228,J
90,1,0,58.40783138,207.212094,0,1181.137155,3533.882837,2087.125757,E
91,1,0,113.8150341,223.9141632,0,1216.050154,2535.568043,981.7886917,E
92,1,0,65.10373495,199.2196999,0,1441.160893,3176.643411,1471.159084,J
93,1,0,93.3881346,192.874017,0,1441.160893,3311.145654,1583.72261,B
94,1,0,95.14719726,194.5011139,0,1441.160893,4410.844362,2680.035159,C
95,1,0,63.68542277,251.9578182,0,1448.47643,2892.835774,1128.716103,H
96,1,0,88.77674227,146.99346,0,1448.47643,3209.823657,1525.577025,B
97,1,0,117.9277228,209.9687317,0,2029.099214,4697.089292,2340.093624,J
98,1,0,101.150981,197.4240245,0,1448.47643,3307.094049,1560.042614,B
99,1,0,92.91125461,115.2827865,0,1452.255295,3995.599624,2335.150288,H
100,1,0,72.20523406,130.182736,0,1194.740864,2895.111881,1497.983047,F
101,1,0,63.45589949,0,0,1201.607191,3328.113676,2063.050585,A
102,1,0,66.95422195,278.1130992,0,1204.685199,5453.074306,3903.321786,A
103,1,0,62.59750807,164.616939,0,1204.685199,5428.537519,3996.637873,J
104,1,0,65.6539952,192.2965487,0,1257.721655,2957.592495,1441.920297,F
105,1,0,133.7934143,239.5800699,0,1678.915862,3099.996397,1047.707051,J
